HCHO_Reading,Location,Current_Date,Next_Date,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
0.0002401417063094,Colombo Proper,2019-04-04,2019-04-05,CEM00043466,6.9,79.867,7.0,0.0,85,74,79
0.0001196842667319,Nuwara Eliya Proper,2019-04-04,2019-04-05,CE000434730,6.967,80.767,1880.0,0.0,61,98,45
0.0001694011577926,Colombo Proper,2019-04-05,2019-04-06,CEM00043466,6.9,79.867,7.0,0.0,87,92,79
0.0001030405027441,Nuwara Eliya Proper,2019-04-05,2019-04-06,CE000434730,6.967,80.767,1880.0,0.01,63,74,49
0.0001030405027441,Colombo Proper,2019-04-06,2019-04-07,CEM00043466,6.9,79.867,7.0,0.0,85,74,78
0.0001029167153844,Nuwara Eliya Proper,2019-04-06,2019-04-07,CE000434730,6.967,80.767,1880.0,0.47,60,98,50
0.00017994348916,Colombo Proper,2019-04-07,2019-04-08,CEM00043466,6.9,79.867,7.0,0.0,85,92,80
0.0001938136388473,Nuwara Eliya Proper,2019-04-07,2019-04-08,CE000434730,6.967,80.767,1880.0,0.0,61,74,51
0.0001938136388473,Colombo Proper,2019-04-08,2019-04-09,CEM00043466,6.9,79.867,7.0,0.0,85,74,81
6.757815417269227e-05,Nuwara Eliya Proper,2019-04-08,2019-04-09,CE000434730,6.967,80.767,1880.0,0.0,59,74,50
0.0002005766244694,Colombo Proper,2019-04-09,2019-04-10,CEM00043466,6.9,79.867,7.0,0.0,85,99,81
0.0002045066130365,Nuwara Eliya Proper,2019-04-09,2019-04-10,CE000434730,6.967,80.767,1880.0,0.65,63,99,54
0.0002045066130365,Colombo Proper,2019-04-10,2019-04-11,CEM00043466,6.9,79.867,7.0,0.0,87,92,79
6.20313630194549e-05,Nuwara Eliya Proper,2019-04-10,2019-04-11,CE000434730,6.967,80.767,1880.0,0.14,63,72,79
0.0002787301089676,Colombo Proper,2019-04-11,2019-04-12,CEM00043466,6.9,79.867,7.0,0.0,86,92,78
-3.0204162612790245e-05,Nuwara Eliya Proper,2019-04-11,2019-04-12,CE000434730,6.967,80.767,1880.0,0.0,63,71,74
0.000250075849252,Colombo Proper,2019-04-12,2019-04-13,CEM00043466,6.9,79.867,7.0,0.0,86,92,79
0.0001408357462238,Nuwara Eliya Proper,2019-04-12,2019-04-13,CE000434730,6.967,80.767,1880.0,0.0,65,75,49
0.000334870158729,Colombo Proper,2019-04-13,2019-04-14,CEM00043466,6.9,79.867,7.0,0.19,85,92,80
0.0001905907485365,Nuwara Eliya Proper,2019-04-13,2019-04-14,CE000434730,6.967,80.767,1880.0,0.0,65,73,52
0.0001905907485365,Colombo Proper,2019-04-14,2019-04-15,CEM00043466,6.9,79.867,7.0,0.0,85,92,80
0.0001905907485365,Nuwara Eliya Proper,2019-04-14,2019-04-15,CE000434730,6.967,80.767,1880.0,0.02,63,86,80
0.0001905907485365,Colombo Proper,2019-04-15,2019-04-16,CEM00043466,6.9,79.867,7.0,0.64,83,91,75
0.0001905907485365,Nuwara Eliya Proper,2019-04-15,2019-04-16,CE000434730,6.967,80.767,1880.0,0.0,64,75,48
0.0001927819063126,Colombo Proper,2019-04-16,2019-04-17,CEM00043466,6.9,79.867,7.0,0.17,81,96,77
0.0001927819063126,Nuwara Eliya Proper,2019-04-16,2019-04-17,CE000434730,6.967,80.767,1880.0,0.0,64,76,55
0.0001927819063126,Colombo Proper,2019-04-17,2019-04-18,CEM00043466,6.9,79.867,7.0,0.99,83,92,76
0.0001927819063126,Nuwara Eliya Proper,2019-04-17,2019-04-18,CE000434730,6.967,80.767,1880.0,0.0,63,75,55
0.0001927819063126,Colombo Proper,2019-04-18,2019-04-19,CEM00043466,6.9,79.867,7.0,0.99,82,75,76
0.0001076937462352,Nuwara Eliya Proper,2019-04-18,2019-04-19,CE000434730,6.967,80.767,1880.0,1.93,63,75,56
0.0001076937462352,Colombo Proper,2019-04-19,2019-04-20,CEM00043466,6.9,79.867,7.0,0.22,85,91,79
-5.74071960045633e-05,Nuwara Eliya Proper,2019-04-19,2019-04-20,CE000434730,6.967,80.767,1880.0,0.13,64,91,79
